Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2016-11-11,99.44395446777344,99.86218064730944,98.53145109615102,98.72155324576445,3300300
2016-11-14,96.13611602783203,99.90019486659398,95.39470754849081,99.8241511118073,7106800
2016-11-15,97.40982818603516,97.89459082908155,96.36424463766384,96.36424463766384,4633100
2016-11-16,98.85462188720703,98.85462188720703,97.36229759687167,97.36229759687167,4567900
2016-11-17,99.28236389160156,100.0427870263037,98.60749180422134,99.23484197814047,3096800
2016-11-18,99.59603881835938,99.90020662136448,99.1492907713354,99.47247314124033,3275000
2016-11-21,100.69863891601562,100.75566810564601,99.51048245250566,99.59602623695123,2650800
2016-11-22,100.68914031982422,100.87924246961256,99.5580129483667,100.75567679744336,4570100
2016-11-23,99.38690185546875,100.6701165383995,99.13026327004118,100.37544882691633,4952300
2016-11-25,100.49907684326172,100.49907684326172,99.35844174980535,99.44399282648368,1566900
2016-11-28,98.24626922607422,100.2043484980512,97.95160878275784,100.2043484980512,5401700
2016-11-29,98.68352508544922,99.20631684151509,98.22726980270703,98.55045213880186,3356600
2016-11-30,97.14366912841797,99.12076321546388,96.3642387818618,98.41737662270137,6889200
2016-12-01,95.22362518310547,97.50488736161404,94.58677497030187,97.26725603576799,5452100
2016-12-02,96.09809112548828,96.13611300168478,94.88142009492569,95.29014619912388,3981100
2016-12-05,98.4268798828125,98.54093825691062,96.76346090919039,96.82999737805802,5427900
2016-12-06,96.95356750488281,98.83561053553336,96.76346537133213,98.68352302714759,4975200
2016-12-07,100.04277801513672,100.34694579123374,97.54289933196225,97.92310361313466,5423500
2016-12-08,99.63406372070312,100.27091394443717,98.72156028402463,99.97625341594913,3024700
2016-12-09,99.24432373046875,99.90018108219573,98.85460497990972,99.62452794807777,2541000
2016-12-12,98.17024993896484,99.23484086522195,98.05619154639142,99.17780441700286,3827700
2016-12-13,98.208251953125,99.42492290732727,97.84705502982462,98.44588322549048,4297700
2016-12-14,98.17024993896484,99.6530670578785,97.81856022595359,97.81856022595359,3515800
2016-12-15,99.18728637695312,100.48000101024778,98.85460406366344,99.26333012054235,3774100
2016-12-16,98.31281280517578,99.63404213313292,97.95161587264622,99.63404213313292,4659700
2016-12-19,98.4173812866211,99.04472415531923,98.33183024656616,98.56946154948385,2980900
2016-12-20,99.3678970336914,99.3869043452644,98.04666769546816,98.90214175487594,2354400
2016-12-21,99.01620483398438,99.77662786780448,98.75956622993071,99.31087256685372,1952500
2016-12-22,99.1492691040039,99.5770097425853,98.05617105991237,99.26333472467844,2463900
2016-12-23,99.52948760986328,99.95722827862352,98.8641229054781,99.13977606927521,1610700
2016-12-27,99.61505126953125,100.41348901598693,99.51999294091598,99.71010234621421,2160700
2016-12-28,98.55045318603516,99.59602945734589,98.41738023797372,99.51998570075884,2552300
2016-12-29,98.63597106933594,99.20629184202863,98.3223033466708,98.6739929376441,2858600
2016-12-30,98.14171600341797,98.91163900931598,97.88507741876228,98.72153689119554,3834700
2017-01-03,100.17584228515625,100.69863400437376,98.959171286175,99.24433172428114,4711300
2017-01-04,101.12638092041016,101.46857059108267,99.67207844601806,100.12832650562665,3299000
2017-01-05,101.90743255615234,103.01233018510474,101.40261139590883,101.96458719462352,3262200
2017-01-06,102.6408462524414,102.97421799389178,101.7931264240566,102.22174619635581,3044600
2017-01-09,102.44081115722656,103.0123065420522,102.21220718972984,102.64083417856763,2500700
2017-01-10,102.22173309326172,103.41235149365238,101.8407337517451,102.44081007639512,3162200
2017-01-11,102.68846893310547,102.7265695996897,101.75502803614899,101.9550510854968,2499000
2017-01-12,103.54572296142578,103.68859865430827,102.21222860612194,102.55512736225606,3288500
2017-01-13,103.53619384765625,104.20294464507303,103.37427145696797,103.46951949461052,4661900
2017-01-17,103.25043487548828,103.6885815991559,102.49796313257268,103.088512508103,2898200
2017-01-18,103.49810028076172,104.03149510427512,102.78372909914506,103.54572066602715,2652300
2017-01-19,103.37425994873047,104.17435936316689,103.18376389465251,103.66953101263888,1885300
2017-01-20,104.73633575439453,104.77443642149198,103.73622049418307,104.05053828055856,4173300
2017-01-23,104.42198181152344,104.75536073965337,103.9457345050032,104.4505627541587,3678200
2017-01-24,104.6982650756836,104.89828818501786,103.9934206998922,104.59349002789499,2899600
2017-01-25,104.9554214477539,105.79361439229497,104.20294956104736,105.40309523944917,3848300
2017-01-26,104.18387603759766,105.0792234529355,103.82193063863224,104.74585173455176,2568700
2017-01-27,104.62203979492188,104.62203979492188,103.74574620195268,104.36486936086165,2591600
2017-01-30,104.10769653320312,104.3553399775053,102.96469828142907,104.17437088620132,4304400
2017-01-31,101.27875518798828,102.01217285154294,100.48818290542091,100.93585654174116,6470200
2017-02-01,100.01194763183594,101.67881342569987,99.0689798746269,101.56451144087283,6149100
2017-02-02,100.1452865600586,100.47865823297009,99.64046556008442,99.93573657509782,4112000
2017-02-03,101.51691436767578,102.43130865532028,100.58346611137377,101.25973665951837,7132600
2017-02-06,101.52642059326172,101.55500154244986,100.66918105854789,101.51690087715787,3445100
2017-02-07,101.53594970703125,102.05982478209096,101.00255491566791,101.9169491009875,3204800
2017-02-08,101.65023803710938,101.82168737798814,100.77394463571036,101.48831567821222,2993600
2017-02-09,102.20270538330078,102.43130212389572,101.44070655870517,101.65025659881694,2679200
2017-02-10,102.17412567138672,102.52655140375458,102.10745131844787,102.44083035010155,2078400
2017-02-13,103.13616180419922,103.18378946299988,102.43131750910408,102.58371293673741,2337100
2017-02-14,103.70762634277344,104.02195135609793,102.64083686767208,102.87896055650124,2336800
2017-02-15,104.45056915283203,104.83156120782216,103.60284220969338,103.82191918157457,2920000
2017-02-16,104.10769653320312,104.96493613833435,103.71717013209981,104.53631633576873,2146400
