Price,Close,High,Low,Open,Volume,SMA_25,SMA_50,EMA_25,EMA_50
Ticker,DIS,DIS,DIS,DIS,DIS,,,,
Date,,,,,,,,,
2010-06-08,28.401168823242188,28.54681426739364,27.767174505528175,28.298356813949567,15662500,29.089647216796877,30.015791130065917,29.1418335431884,29.30051445630769
2010-06-09,28.221248626708984,28.97518699861021,28.127009189923335,28.529678109224527,13707600,28.964562225341798,29.977751502990724,29.071019318843835,29.258190306127347
2010-06-10,29.223644256591797,29.32645299402428,28.6581912983669,28.726729367244943,13720200,28.922410430908204,29.960787849426268,29.0827596986706,29.256835559086735
2010-06-11,29.335025787353516,29.35215785543932,28.769572761816438,29.000891631518275,8799700,28.930292663574217,29.949307594299317,29.102164782415443,29.259901842548178
2010-06-14,29.06943130493164,29.617748962616584,29.06086200315035,29.549210889521483,9336800,28.948113098144532,29.9215491104126,29.099646822608996,29.25243240970047
2010-06-15,29.977571487426758,29.9861375172678,29.22363340045973,29.22363340045973,11552200,28.937831802368166,29.91760799407959,29.16717948913344,29.280869236277976
2010-06-16,29.806230545043945,29.926174608689095,29.54063778395068,29.806230545043945,9416200,28.90458984375,29.90595630645752,29.216337262665018,29.30147164054331
2010-06-17,30.04611587524414,30.08038653830399,29.643443754866666,29.81479380193561,10951100,28.902533569335937,29.901672592163084,29.280166386709567,29.33067337523746
2010-06-18,30.114654541015625,30.286001304717374,29.91759987994457,30.14892193281796,14672300,28.916241302490235,29.892762298583985,29.34435778319465,29.36141773467974
2010-06-21,30.037546157836914,30.69724163375471,29.866196131793476,30.41451360054855,11382500,28.95051086425781,29.8728857421875,29.397679965859442,29.387932574803553
2010-06-22,29.42926025390625,30.38025001504529,29.377857521886195,30.088955883419196,9731000,28.955651473999023,29.84649787902832,29.40010921878612,29.389553268101697
2010-06-23,29.420692443847656,29.669149861036143,29.17223502665917,29.437827776229327,9474000,28.976556091308595,29.820795364379883,29.401692543790855,29.390774412248597
2010-06-24,28.786699295043945,29.283614148001625,28.666755232117776,29.240777449560937,10273200,28.983752670288087,29.776244430541993,29.354385370810324,29.367085191966062
2010-06-25,28.683897018432617,28.85524711897626,28.37546749110033,28.709598389633197,11155500,29.03481506347656,29.726210403442384,29.302809343704347,29.340293498886318
2010-06-28,28.46114158630371,28.923782566983157,28.315492870210694,28.752435750258712,7802000,29.046809692382812,29.681488151550294,29.238065670058145,29.305816953294844
2010-06-29,27.672931671142578,28.589650839638406,27.450178855156604,28.5382481034583,15868300,29.040641174316406,29.61517593383789,29.117670747064643,29.241782236347696
2010-06-30,26.987529754638672,27.852842762718435,26.867585700868247,27.552982628292366,17186400,29.012539749145507,29.52881576538086,28.953813747647263,29.153380178241463
2010-07-01,26.978965759277344,27.501580374746908,26.482052510760877,26.96183042523168,19906200,28.9583935546875,29.44194149017334,28.8019023639265,29.068109024556595
2010-07-02,26.884723663330078,27.141748777473726,26.31927069997566,27.03893840499318,15597300,28.855926513671875,29.34941287994385,28.65442707926524,28.982486069214378
2010-07-06,27.176013946533203,27.672927135588285,26.884719839075206,27.218852276521265,15215500,28.797667465209962,29.262538681030275,28.540702992132008,28.911644025187666
2010-07-07,28.39259910583496,28.418300473666203,27.124613757209367,27.184585794302873,14309500,28.791156158447265,29.1957124710083,28.529310385493776,28.891289322467955
2010-07-08,28.563949584960938,28.735299665447148,28.18698202247603,28.555383551640553,10044000,28.743178405761718,29.144650344848632,28.531974939298944,28.878452470016697
2010-07-09,28.91521453857422,28.95805123980002,28.589649726442683,28.598219027626328,8530900,28.710279388427736,29.101127471923828,28.561454908473966,28.87989411976405
2010-07-12,28.932342529296875,29.03515123979074,28.606777799798003,28.76956179866243,10094300,28.713020858764647,29.042011756896972,28.589984725460347,28.881950920137886
2010-07-13,29.514934539794922,29.703416655713273,29.09512707552643,29.22364043166975,8653000,28.761341323852537,29.001059303283693,28.661134711178395,28.90677380718326
2010-07-14,29.335025787353516,29.56634465705535,29.060863674512266,29.335025787353516,7955100,28.79869560241699,28.944171409606934,28.71297248626879,28.923568002484057
2010-07-15,29.1722354888916,29.489230972399067,28.78669867477143,29.25791215215749,10656300,28.836735076904297,28.900648651123046,28.74830040954747,28.93331966861769
2010-07-16,28.298355102539062,29.12940081879136,28.20411240050252,29.035158116754822,13060100,28.799723510742187,28.861066970825195,28.713689232085287,28.90841909739892
2010-07-19,28.53824806213379,28.701028840186638,28.264089242133764,28.349762647797174,9647000,28.7678524017334,28.849072532653807,28.700193757473635,28.893902586212054
2010-07-20,28.615354537963867,28.658191239453437,28.10130431539654,28.555382502232305,11632000,28.749689331054686,28.84890121459961,28.69366766366519,28.882979133339575
2010-07-21,28.109872817993164,28.786700526052762,27.9556580824275,28.675325758990358,10151100,28.674981384277345,28.806406593322755,28.648760367844268,28.852661238620108
2010-07-22,28.77813720703125,28.932351957139165,28.31549295670751,28.3497636274495,9984500,28.633857650756838,28.769223747253417,28.658712432397113,28.84973872757741
2010-07-23,29.24077796936035,29.309316034437703,28.658189709164894,28.718161741694075,10790200,28.601644134521486,28.75208885192871,28.70348670447121,28.86507359980419
2010-07-26,29.47210121154785,29.746260018966186,29.206508437010374,29.206508437010374,10104400,28.575942001342774,28.746091651916505,28.76261089732326,28.888878604186296
2010-07-27,29.36928367614746,29.694848424226027,29.095124920364512,29.694848424226027,7103000,28.549211502075195,28.749861183166505,28.80927803415589,28.90771801877301
2010-07-28,29.163663864135742,29.3093092614124,28.958043179958814,29.292173932045163,6089200,28.538587646484373,28.7471195602417,28.83653848261588,28.91775511074802
2010-07-29,28.880945205688477,29.814799715805723,28.632487751567616,29.317888075794958,9938400,28.51699775695801,28.7467769241333,28.839954384390694,28.916311585059407
2010-07-30,28.863805770874023,29.026589795459707,28.289786839334283,28.589646987417655,7805000,28.52008201599121,28.75191734313965,28.841789106427875,28.914252533522728
2010-08-02,29.54063606262207,29.711986115658004,29.240775920982006,29.249341952930113,9948800,28.55435157775879,28.794583320617676,28.89554656459666,28.93881659348741
2010-08-03,29.3093204498291,29.600614623809722,29.146539661045956,29.506371910429056,8503300,28.588278732299806,28.817544212341307,28.927375324999158,28.9533461564812
2010-08-04,29.840503692626953,29.951878464855405,29.249346089461206,29.480668203539427,9840700,28.67498161315918,28.857811393737794,28.99761596866284,28.98813664809476
2010-08-05,29.969018936157227,30.028990983246,29.609186653624594,29.71199541031514,8407300,28.79424118041992,28.903390464782714,29.072339273854716,29.02660262017564
2010-08-06,29.986146926879883,30.063254292563943,29.463530700380215,29.626314732508035,8061700,28.914528427124022,28.93646099090576,29.142632170241267,29.06423180867385
2010-08-09,30.12322998046875,30.183202020141778,29.900477157144806,29.95187989501823,7809300,29.04406867980957,28.949997596740722,29.218062771027995,29.10576114874424
2010-08-10,30.234603881835938,30.33741261172132,29.754824361986497,29.891903757910537,12353400,29.16641227722168,28.98203987121582,29.296258241090147,29.150029491218422
2010-08-11,29.317880630493164,29.789090782562006,29.240773277010618,29.789090782562006,15028900,29.203423538208007,28.997289848327636,29.29792150181346,29.156611888837038
2010-08-12,29.120830535888672,29.386420001159774,28.880939165289586,29.00088321647399,11809600,29.225698776245117,28.984438591003418,29.28429911981925,29.15520869852534
2010-08-13,28.85524559020996,28.966623639897158,28.623923456966313,28.9494883039275,11058100,29.223300018310546,28.96678970336914,29.251295002156997,29.143445439375718
2010-08-16,28.838104248046875,28.915211609735387,28.366894045830616,28.64961885986818,6917800,29.219530487060545,28.966275672912598,29.219511097994683,29.131471275009883
2010-08-17,28.923778533935547,29.120833228507784,28.70959177466454,29.060857929139768,9875200,29.19588424682617,28.978612785339354,29.196762439220905,29.12332646163442
2010-08-18,29.052295684814453,29.317888477503196,28.615356076952068,28.966622277227632,8325000,29.18457504272461,28.9916353225708,29.185649611958873,29.120540940974813
2010-08-19,28.435436248779297,28.940917189419714,28.324061474298038,28.889514452960967,12070700,29.155103073120117,28.995919075012207,29.127940891714292,29.093674090300482
2010-08-20,28.315494537353516,28.444007925694418,28.02420035624787,28.272657830650292,8632700,29.155788650512694,28.97775608062744,29.065445018301926,29.063157245086874
2010-08-23,28.21268081665039,28.743863076286743,28.10130278426142,28.46970427981439,8046500,29.14276596069336,28.95530918121338,28.99984777202104,29.029805228285444
2010-08-24,27.53584861755371,28.015628123882205,27.390201559224572,27.83571203459546,14229700,29.099585723876952,28.92463752746582,28.887232452446632,28.97121869453126
2010-08-25,27.51014518737793,27.621523206387103,27.03036571707171,27.304526114724606,14144000,29.075596618652344,28.875289001464843,28.781302662825965,28.91392169425074
2010-08-26,27.364501953125,27.792873855258435,27.313095952212088,27.570121054430576,10120500,29.019051208496094,28.826454429626466,28.67231799284897,28.85316013577522
2010-08-27,28.084169387817383,28.14414142441735,27.056073830141997,27.52728572392756,11144000,28.972786865234376,28.78721549987793,28.627075792461927,28.823003635855308
2010-08-30,27.71576690673828,28.264087786734645,27.69006554000888,28.04133171431064,7057900,28.902533493041993,28.739237747192384,28.556975108944727,28.77958258765464
2010-08-31,27.878555297851562,28.12701277580138,27.338803634637095,27.587261112586912,12520700,28.842904357910157,28.696057929992676,28.504788969629868,28.744248184132953
2010-09-01,28.7095947265625,28.872378772013366,28.195547758750404,28.27265513074531,10020900,28.824741592407225,28.6816646194458,28.520543258624684,28.742889225012544
2010-09-02,29.052295684814453,29.112267723771424,28.726730853168732,28.80383822728927,7034600,28.831595611572265,28.674296684265137,28.561447291408516,28.75502281167144
2010-09-03,29.70342445373535,29.729129092650485,29.146540723453572,29.146540723453572,8473800,28.865180358886718,28.692631187438966,28.64929168851058,28.79221503292885
2010-09-07,28.992321014404297,29.66915198489383,28.838106280160336,29.557773950555255,10733100,28.843247756958007,28.698799667358397,28.675678559733175,28.800062326320045
2010-09-08,28.992321014404297,29.215073814850737,28.915213647282314,29.02659168162089,8370900,28.830567779541017,28.70942325592041,28.700035671630953,28.807601882715506
2010-09-09,29.19794273376465,29.549208913999493,29.129401397020867,29.420695541720306,6990600,28.804865341186524,28.73992347717285,28.738336214872007,28.822909367070377
2010-09-10,29.257911682128906,29.36928644023953,29.172235020239413,29.266477714202615,7362900,28.77642105102539,28.785331115722656,28.778303558507154,28.839968281386398
2010-09-13,29.36072540283203,29.70342230399606,29.060861937553597,29.489235515181907,8826700,28.751404190063475,28.83296630859375,28.823105238839837,28.860390129286227
2010-09-14,29.1722354888916,29.326450214539673,28.889510670690495,29.326450214539673,7761800,28.71336441040039,28.87871654510498,28.849961411920745,28.872619359074672
2010-09-15,29.3093204498291,29.48923657452065,29.026595577918258,29.13797035897618,7262300,28.67635307312012,28.9213826751709,28.88529672252908,28.889744892045435
2010-09-16,29.27504539489746,29.292180728240332,28.88094253270337,29.20650732975663,7297600,28.67463966369629,28.93903160095215,28.91527738963434,28.904854715686692
2010-09-17,29.609180450439453,29.75482588621875,29.437830379699108,29.45496571359622,19012800,28.69417366027832,28.959936218261717,28.96865454815781,28.93247533273582
2010-09-20,29.90047836303711,29.977585741188047,29.583479548288153,29.609184186492584,10219200,28.735982971191405,28.979641494750975,29.04033330314853,28.97043623588489
2010-09-21,29.557771682739258,29.96900985309406,29.36072026370865,29.909037824181723,11630600,28.764769668579103,28.992150077819826,29.08013625542474,28.993468998506632
2010-09-22,29.120830535888672,29.82336277988042,29.043723178951517,29.617742071971243,9897700,28.772651748657225,28.9842679977417,29.0832665846912,28.998463568600044
2010-09-23,28.37546157836914,28.898077805423092,28.272652846758238,28.846671805502314,18090900,28.745578384399415,28.965076713562013,29.02882004574335,28.974032118002757
2010-09-24,28.769569396972656,28.975186872265862,28.538247286094666,28.59821932207442,10657100,28.75894371032715,28.957023391723634,29.008877688145606,28.96601397208001
2010-09-27,28.521114349365234,28.83810989022466,28.512545047372992,28.78670388296457,7884000,28.767168502807618,28.961478576660156,28.97135743131635,28.94856692805198
2010-09-28,28.46114158630371,28.6753283754403,28.22125016007363,28.589651698847042,12863900,28.77710693359375,28.959936447143555,28.93211005862307,28.929452208767735
2010-09-29,28.28121566772461,28.42686435017851,27.998490870842762,28.29835099908567,9231200,28.806921615600587,28.95325366973877,28.882041259323188,28.904031167942513
2010-09-30,28.358325958251953,28.692460052011665,28.1270071315246,28.435433323237945,14459500,28.84084884643555,28.958222732543945,28.841755466933098,28.88263096364092
2010-10-01,28.563949584960938,28.769570335190583,28.37546416960301,28.529678915217506,12916300,28.888826751708983,28.95393898010254,28.82038578370447,28.870133654673076
2010-10-04,28.39259910583496,28.78670199765827,28.34119637017247,28.469706477559598,10708300,28.901163940429687,28.936975402832033,28.787479116176048,28.851406809620602
2010-10-05,28.98375701904297,29.120836429314224,28.581084821520115,28.606786189623808,14555400,28.951883544921873,28.927208518981935,28.80257741639658,28.856597013911674
2010-10-06,28.889509201049805,29.11226197774838,28.649617824339384,28.99231792350835,11339900,28.992321701049804,28.91761302947998,28.809264476754525,28.857887687917092
2010-10-07,29.052295684814453,29.112267723771424,28.855244232779963,28.940917640366784,9029800,29.006029739379883,28.915385665893556,28.827959185066828,28.865511530932675
2010-10-08,29.566341400146484,29.72912544311102,28.958051734939183,29.103700443474246,12971700,29.026591567993165,28.929093589782713,28.884757816996032,28.89299505521557
2010-10-11,29.61774444580078,29.76339313979134,29.497800385002996,29.57490774812022,5347500,29.023164367675783,28.94417236328125,28.941141403827167,28.921416599944404
2010-10-12,29.54063606262207,29.65201408732999,29.095127232020815,29.43782733809268,9077900,29.045096969604494,28.94417236328125,28.987256377580625,28.945699716127844
2010-10-13,29.909038543701172,30.15749596558967,29.634879756869218,29.6948517872243,14425700,29.081765670776367,28.956166725158692,29.05816269805144,28.983477709366014
2010-10-14,29.857635498046875,29.94331217004806,29.626316654220833,29.806232763077027,7358700,29.108153381347655,28.95650936126709,29.119660605743398,29.01775840696134
2010-10-15,29.883337020874023,30.11465910883456,29.609178235490543,30.020416413565762,9641200,29.133170394897462,28.954795722961425,29.178404945368833,29.051702666330467
2010-10-18,29.771961212158203,29.986147983468694,29.557774440847712,29.840502547728324,6926200,29.14961982727051,28.95051200866699,29.22406311973725,29.079948099500186
2010-10-19,29.335025787353516,29.64345203636637,29.129405019780386,29.55777862301245,9554500,29.156131439208984,28.934747924804686,29.232598709553884,29.089951146082672
2010-10-20,29.660573959350586,29.771951960927453,29.360713879985664,29.360713879985664,10107800,29.170181579589844,28.92326732635498,29.26551988261517,29.112328511308867
2010-10-21,29.71198844909668,30.020417915137863,29.52350304913136,29.78052651475545,16888400,29.18765930175781,28.93114948272705,29.299863618498367,29.135844587300546
2010-10-22,29.960447311401367,29.977582645691193,29.386425051500105,29.703420565284805,9598800,29.201709976196287,28.947941818237304,29.350677748721676,29.16818194902999
2010-10-25,30.38025665283203,30.603012767691183,30.07182712040021,30.123233131882643,11230400,29.220901107788087,28.978442039489746,29.429876125960938,29.21571429035556
2010-10-26,30.808626174926758,30.81719547648184,29.977583676786455,30.097527752709944,14800400,29.270935287475584,29.017852478027343,29.535933822035233,29.278181423083844
2010-10-27,30.77435302734375,30.808623694342828,30.388819462411526,30.5001942278125,11752600,29.33707618713379,29.054863967895507,29.6311968378282,29.33685481932933
2010-10-28,31.279834747314453,31.28840404840436,30.79148916857457,30.800058469664478,14226000,29.4532511138916,29.09941474914551,29.758015138557916,29.413050110622866
2010-10-29,30.95427703857422,31.279838619212462,30.69725353398517,31.279838619212462,12926000,29.540639419555664,29.149791564941406,29.850035284713016,29.473490382307233
2010-11-01,30.868593215942383,31.262699317905106,30.637271134865482,31.022807936660314,8454000,29.63453857421875,29.200853538513183,29.928385894807587,29.528200297351752
2010-11-02,30.937131881713867,31.228425965973702,30.928562582283497,31.15988464345132,16355300,29.733578186035157,29.25534255981445,30.005981739954226,29.583452516346345
2010-11-03,31.091358184814453,31.21130227573214,30.8000639919152,30.945709454249148,12050100,29.84598388671875,29.326452751159668,30.089472235712705,29.642586071972545
2010-11-04,31.725341796875,31.836719827009325,31.236996246279865,31.271266912202826,16674900,29.980664520263673,29.41075668334961,30.215308355802115,29.724262767066758
2010-11-05,31.870990753173828,31.930962784913415,31.51115529450569,31.51115529450569,9712900,30.112946166992188,29.500886459350586,30.342668540215325,29.808448178286643
2010-11-08,31.751047134399414,31.819585199534334,31.605398435112882,31.742477833613385,6802600,30.247284088134766,29.574224014282226,30.451005355152564,29.884628529506752
2010-11-09,31.579696655273438,31.89669214735747,31.425481925452967,31.862421481123896,7600000,30.351121673583986,29.65150260925293,30.53782776285417,29.95110178934074
2010-11-10,31.69108009338379,31.699646127288368,31.279838564878236,31.622538749222475,7857200,30.463184509277344,29.727753105163575,30.62653948058722,30.019336232636547
2010-11-11,30.78291893005371,32.033768723361405,30.114657338495142,31.596829206164724,37821800,30.532409439086916,29.769219589233398,30.638568669007718,30.049280652143104
2010-11-12,32.34220886230469,32.556395675962335,31.35694821218695,31.494027642198585,39192700,30.64344413757324,29.835017852783203,30.76961791464595,30.139199405482774
2010-11-15,31.913827896118164,32.26509405901064,31.81958519686373,32.05947332716181,11658400,30.735287475585938,29.87922592163086,30.85763406706689,30.20879267962534
2010-11-16,31.631103515625,31.948102317321744,31.451187396757792,31.588266811356288,12409800,30.818906173706054,29.932001571655274,30.917131716955975,30.264569575154738
2010-11-17,31.88812828063965,31.973801683811597,31.44261939403768,31.52829279720963,10600500,30.898069763183592,29.98991771697998,30.991823760316258,30.328238543997287
2010-11-18,32.19655990600586,32.367906723764044,31.87099506944941,31.87099506944941,9520400,30.991626739501953,30.049890060424804,31.08449577152315,30.40150604838978
2010-11-19,31.708200454711914,31.98236246190701,31.485447704888987,31.78530780431023,13691800,31.06462127685547,30.098895835876466,31.132473054845367,30.45274896628477
2010-11-22,31.656808853149414,31.74248226358228,31.288407305472077,31.596836812200184,6558800,31.140015182495116,30.144817504882813,31.17280657779183,30.499967001063773
2010-11-23,30.945701599121094,31.374075111222776,30.842892871321236,31.29696774831525,11925900,31.20444221496582,30.180286827087404,31.15533696404793,30.517446789222884
2010-11-24,31.58826446533203,31.68250716866252,31.09991888282931,31.151324885072523,9098200,31.281549835205077,30.22586570739746,31.188639079531324,30.55943963926638
2010-11-26,31.442623138427734,31.63967460377404,31.211301000439143,31.279839077492486,3490900,31.35077522277832,30.269217262268068,31.20817631483105,30.594074286292315
2010-11-29,31.202730178833008,31.4511876410448,30.928571347506573,31.22843481617872,8495200,31.400466537475587,30.30108825683594,31.20775738129274,30.61794314482332
2010-11-30,31.279834747314453,31.553996822268292,30.860030504370723,30.877165838319762,17578900,31.436449661254883,30.328675384521485,31.213301794063646,30.643899678254346
2010-12-01,31.802453994750977,32.05091145810969,31.73391592071852,31.82815863221535,15010900,31.476202774047852,30.37356903076172,31.25862119411652,30.689333180862057
2010-12-02,31.990936279296875,32.205123050511176,31.742478840312906,31.751048141370703,13967700,31.524866104125977,30.430971145629883,31.31495312374578,30.740376439624207
